"date_time","emoji_code","user"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f35f","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f354","Hannah"
"2014-01-01 15:02:00","1f604","Hannah"
"2014-01-01 15:02:00","1f60a","Hannah"
"2014-01-01 15:02:00","1f603","Hannah"
"2014-01-01 15:02:00","1f603","Hannah"
"2014-01-01 15:02:00","1f60a","Hannah"
"2014-01-01 15:02:00","1f604","Hannah"
"2014-01-01 15:02:00","1f60a","Hannah"
"2014-01-01 15:02:00","1f603","Hannah"
"2014-01-01 15:02:00","1f603","Hannah"
"2014-01-01 15:02:00","1f60a","Hannah"
"2014-01-01 15:02:00","1f604","Hannah"
"2014-01-01 15:10:00","1f604","Owen"
"2014-01-09 15:09:00","1f615","Vanessa"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-14 14:02:00","1f355","Shaggy"
"2014-01-16 11:41:00","1f44d","Owen"
"2014-01-16 12:44:00","1f417","Owen"
"2014-01-16 12:44:00","1f40a","Owen"
"2014-01-16 12:44:00","1f416","Owen"
"2014-01-16 12:44:00","1f43b","Owen"
"2014-01-16 12:44:00","1f40d","Owen"
"2014-01-16 12:44:00","1f409","Owen"
"2014-01-16 12:44:00","1f432","Owen"
"2014-01-16 12:44:00","1f400","Owen"
"2014-01-16 12:44:00","1f42a","Owen"
"2014-01-16 12:44:00","1f406","Owen"
